ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,ADMST_ZONE_NM,ACA_INSTI_SC_NM,ACA_ASNUM,ACA_NM,ESTBL_YMD,REG_YMD,REG_STTUS_NM,CAA_BEGIN_YMD,CAA_END_YMD,TOFOR_SMTOT,DTM_RCPTN_ABLTY_NMPR_SMTOT,REALM_SC_NM,LE_ORD_NM,LE_CRSE_LIST_NM,LE_CRSE_NM,PSNBY_THCC_CNTNT,THCC_OTHBC_YN,BRHS_ACA_YN,FA_RDNMA,FA_RDNDA,FA_RDNZC,FA_TELNO,LOAD_DTM
B10,서울특별시교육청,강남구,학원,3000041030,메가스터디SW입시센터학원,20220311,20220311,개원,        ,99991231,128,103,종합(대),기타(중),"기타(소),진학상담지도,컴퓨터(소)",기타(소), ,Y,N,서울특별시 강남구 테헤란로1길 16,", 3층,4층 (역삼동)",06129,02-558-1250,20250518
B10,서울특별시교육청,강남구,학원,3000034695,메가스터디아이티(IT)아카데미학원,20190627,20190627,개원,        ,99991231,4980,242,종합(대),,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",, ,Y,N,서울특별시 강남구 강남대로94길 13,", 1~4층 전체·5층 일부(501호) (역삼동)",06129,02-588-9991,20260201
B10,서울특별시교육청,강남구,학원,3000036662,브레인밸리코딩학원,20200401,20200401,개원,        ,99991231,60,69,기타(대),기타(중),,기타(소), ,Y,N,서울특별시 강남구 역삼로83길 5,", 1층전체 (대치동)",06185,02-561-0195,20231018
B10,서울특별시교육청,강남구,학원,3000031146,브이에스랩컴퓨터아트학원,20180221,20180221,개원,        ,99991231,200,55,직업기술,컴퓨터,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어),","컴퓨터(정보처리,통신기기,인터넷,소프트웨어)", ,Y,N,서울특별시 강남구 강남대로154길 39,", 3층 (신사동)",06035,02-555-3652,20231018
B10,서울특별시교육청,강남구,학원,3000013969,서울사진영상IT학원,20120425,20120425,개원,        ,99991231,266,179,종합(대),,"사진,컴퓨터(정보처리,통신기기,인터넷,소프트웨어),",, ,Y,N,서울특별시 강남구 역삼로1길 18,", 5층, 6층 전체 (역삼동)",06242,02-562-2434,20231018
B10,서울특별시교육청,강남구,학원,3000030819,서초세이건코딩학원,20180115,20180112,개원,        ,99991231,80,71,기타(대),기타(중),"컴퓨터(소),",컴퓨터(소), ,Y,N,서울특별시 강남구 선릉로64길 17,", 디앤비빌딩 501호 (대치동)",06205,02-6941-0563,20260405
B10,서울특별시교육청,강남구,학원,3000034626,손랩정보영재학원,20190618,20190618,개원,        ,99991231,130,44,기타(대),기타(중),"컴퓨터(소),",컴퓨터(소), ,Y,N,서울특별시 강남구 삼성로64길 46,", 2층 201호 (대치동, 오송빌딩)",06190,02-553-9969,20250330
B10,서울특별시교육청,강남구,학원,3000025966,스킬서포트교육센터컴퓨터학원,20160406,20160406,개원,        ,99991231,88,88,직업기술,컴퓨터,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어),","컴퓨터(정보처리,통신기기,인터넷,소프트웨어)", ,Y,N,서울특별시 강남구 삼성로95길 15,", 7층 일부 (삼성동)",06158,02-6346-7200,20231018
B10,서울특별시교육청,강남구,학원,3000027518,씨아이티코드아카데미(CIT Code Academy)학원,20161121,20161121,개원,        ,99991231,52,54,기타(대),기타(중),"컴퓨터(소),",컴퓨터(소), ,Y,N,서울특별시 강남구 압구정로32길 11,", 2층206호 (신사동)",06022,02-540-2922,20231018
B10,서울특별시교육청,강남구,학원,3000038098,씨엠에스씨큐브코딩대치학원,20201222,20201222,개원,        ,99991231,72,287,종합(대),,"보습·논술,컴퓨터(소)",, ,Y,N,서울특별시 강남구 도곡로 456,", 4층, 6층 (대치동)",06279,02-563-5600,20260329
B10,서울특별시교육청,강남구,학원,3000043188,아이코닉컨셉아트학원,20230131,20230131,개원,        ,99991231,10,52,직업기술,컴퓨터,,게임, ,Y,N,서울특별시 강남구 언주로151길 18,", 4층 (신사동)",06026,02-000-0000,20231018
B10,서울특별시교육청,강남구,학원,3000050288,아이티런교육학원,20171016,20171016,개원,        ,99991231,234,117,직업기술,컴퓨터,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어),","컴퓨터(정보처리,통신기기,인터넷,소프트웨어)", ,Y,N,서울특별시 강남구 강남대로44길 21,", 2층 (도곡동)",06266,02-6925-4760,20251005
B10,서울특별시교육청,강남구,학원,3000016175,아틈학원,20130115,20130115,개원,        ,99991231,24,24,직업기술,컴퓨터,,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)", ,Y,N,서울특별시 강남구 봉은사로61길 12,", 2층,3층 (삼성동)",06097,070-4222-3111,20250914
B10,서울특별시교육청,강남구,학원,3000016680,에스에프필름컴퓨터아트학원,20130314,20130314,개원,        ,99991231,276,50,직업기술,산업응용기술,디자인,디자인, ,Y,N,서울특별시 강남구 논현로79길 71,", 5층, 7층 (역삼동)",135936,02-501-5111,20250330
B10,서울특별시교육청,강남구,학원,3000017209,에스원(S1)아카데미학원,20130509,20130509,개원,        ,99991231,70,20,직업기술,컴퓨터,"게임,",게임, ,Y,N,서울특별시 강남구 역삼로3길 17,", 5층 (역삼동)",06242,02-3453-4080,20231018
B10,서울특별시교육청,강남구,학원,3000033322,에스원아카데미2호점학원,20181217,20181217,개원,        ,99991231,50,60,직업기술,컴퓨터,"게임,",게임, ,Y,N,서울특별시 강남구 역삼로3길 20,", 3층 (역삼동)",06243,02-3453-4080,20231018
B10,서울특별시교육청,강남구,학원,3000017522,오렌지에이아이(AI)코딩랩학원,20130620,20130620,개원,        ,99991231,45,45,기타(대),보통교과,,보습, ,Y,N,서울특별시 강남구 역삼로 536,", 502호 (대치동, 동성빌딩)",06187,02-558-8556,20260426
B10,서울특별시교육청,강남구,학원,1000035973,웹타임컴퓨터학원,19980530,19980530,개원,        ,99991231,0,51,종합(대),,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",, ,Y,N,서울특별시 강남구 테헤란로70길 14-8,", 6층(대치동)",06193,02-3477-1300,20231217
B10,서울특별시교육청,강남구,학원,3000033788,잼코딩2관학원,20190227,20190227,개원,        ,99991231,80,46,기타(대),기타(중),"컴퓨터(소),",컴퓨터(소), ,Y,N,서울특별시 강남구 선릉로64길 24,", 5층 (대치동)",06207,02-6941-0563,20231018
B10,서울특별시교육청,강남구,학원,1000035247,제일정보처리학원,19880312,19880312,개원,        ,99991231,240,48,직업기술,컴퓨터,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)","컴퓨터(정보처리,통신기기,인터넷,소프트웨어)", ,Y,N,서울특별시 강남구 삼성로 38,", 503호(개포동)",06329,02-451-8850,20250615
B10,서울특별시교육청,강남구,학원,3000037117,젠지글로벌아카데미학원,20200706,20200706,개원,        ,99991231,323,101,직업기술,컴퓨터,게임,게임, ,Y,N,서울특별시 강남구 선릉로111길 6,(논현동) 1층 일부(우측),06103,02-6713-3443,20260426
B10,서울특별시교육청,강남구,학원,3000037548,지에프엑스클래스(GFXClass)학원,20200914,20200914,개원,        ,99991231,40,48,직업기술,컴퓨터,게임,게임, ,Y,N,서울특별시 강남구 강남대로62길 28,", 2층 전체 (역삼동)",06254,null,20251214
B10,서울특별시교육청,강남구,학원,12688,청시지아카데미학원,20060210,20060210,개원,        ,99991231,90,48,직업기술,컴퓨터,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)","컴퓨터(정보처리,통신기기,인터넷,소프트웨어)", ,Y,N,서울특별시 강남구 강남대로152길 23,", 5층 502호 (신사동)",06035,02-546-5640,20260201
B10,서울특별시교육청,강남구,학원,3000027643,코딩골드스쿨컴퓨터학원,20161116,20161116,개원,        ,99991231,28,47,기타(대),기타(중),컴퓨터(소),컴퓨터(소), ,Y,N,서울특별시 강남구 삼성로 212,", 은마상가B동301-3호 (대치동)",06284,02-569-9383,20240714
B10,서울특별시교육청,강남구,학원,3000050954,코딩펀(CodingFun)코딩학원,20240814,20240814,개원,        ,        ,300,50,기타(대),기타(중),컴퓨터(소),컴퓨터(소), ,Y,N,서울특별시 강남구 논현로164길 11,", 3층 301호(신사동)",06025,010-8782-8105,20240908
B10,서울특별시교육청,강남구,학원,3000016895,크레버스원격학원,20130403,20130403,개원,        ,99991231,281572,0,종합(대),,"보습·논술,실용외국어(유아/초·중·고),진학상담지도,컴퓨터(소)",, ,Y,N,서울특별시 강남구 테헤란로 521,", 21층 (삼성동, 파르나스타워)",06164,02-3429-9407,20260315
B10,서울특별시교육청,강남구,학원,3000039563,티원이스포츠아카데미학원,20210802,20210802,개원,        ,99991231,119,91,직업기술,컴퓨터,게임,게임, ,Y,N,서울특별시 강남구 선릉로115길 4,", 2층, 3층, 4층 (논현동)",06100,02-6009-2525,20260405
B10,서울특별시교육청,강남구,학원,3000043816,팀스파르타학원,20230427,20230427,개원,        ,99991231,60,60,직업기술,컴퓨터,,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)", ,Y,N,서울특별시 강남구 강남대로92길 19,", 9층 전체 (역삼동)",06134,02-000-0000,20231018
B10,서울특별시교육청,강남구,학원,3000031603,패스트캠퍼스강남학원,20180413,20180413,개원,        ,99991231,33402,518,종합(대),,"경영,금융,부동산,컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",, ,Y,N,서울특별시 강남구 강남대로 364,", 10층 및 11층 (역삼동, 미왕빌딩)",06241,02-517-0648,20250810
B10,서울특별시교육청,강남구,학원,3000024520,플레이코딩아카데미학원,20151109,20151109,개원,        ,99991231,96,73,기타(대),기타(중),컴퓨터(소),컴퓨터(소), ,Y,N,서울특별시 강남구 선릉로64길 8,", 7층 (대치동)",135998,02-539-1113,20251123
B10,서울특별시교육청,강남구,학원,3000016119,한국글로벌널리지학원,20130109,20100401,개원,        ,99991231,760,63,직업기술,컴퓨터,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)","컴퓨터(정보처리,통신기기,인터넷,소프트웨어)", ,Y,N,서울특별시 강남구 언주로 425,", 3층일부 (역삼동,아레나빌딩)",135920,02-562-7349,20251019
B10,서울특별시교육청,강남구,학원,3000031577,한국정보보호교육학원,20100714,20051026,개원,        ,99991231,344,96,직업기술,컴퓨터,,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)", ,Y,N,서울특별시 강남구 남부순환로 2645,", 5층 501호 (도곡동, 한독빌딩)",06271,02-921-1465,20251005
B10,서울특별시교육청,강남구,학원,3000035327,한글과컴퓨터학원,20191008,20191008,개원,        ,99991231,100,58,기타(대),기타(중),컴퓨터(소),컴퓨터(소), ,Y,N,서울특별시 강남구 선릉로 328,", 211~217호, 222~224호 (대치동)",06199,02-6953-0995,20260201
B10,서울특별시교육청,강남구,학원,3000041563,휴몬랩코딩학원,20220530,20220531,개원,        ,99991231,66,59,기타(대),기타(중),컴퓨터(소),컴퓨터(소), ,Y,N,서울특별시 강남구 논현로176길 22,", 3층전체 (신사동)",06022,02-2247-8512,20260201
B10,서울특별시교육청,강동구,교습소,3000031449,랑이쌤컴퓨터교습소,20180328,20180328,개원,        ,99991231,20,5,기타(대),기타(중),,기타(소),"컴퓨터활용(주1회,회70분):70000, 컴퓨터활용(주1회,회95분):85000, 코딩(주1회,회120분):105000, 특강(월1회,회120분):25000, 코딩(주1회,회당100분):85000, 초등A(주1회,회80분):75000, 초등B(4주)(주1회,회100분):90000, 중고등(주1회,회120분):110000, 특강(1회,회120분):27000",Y,N,서울특별시 강동구 고덕로 266,", 306호 (명일동, 고덕역 대명벨리온)",05269,02-442-6345,20231018
B10,서울특별시교육청,강동구,교습소,3000054328,리더월강동코딩교습소,20260310,20260310,개원,        ,        ,0,9,정보,,,, ,Y, ,서울특별시 강동구 고덕로 133,. 상가동 317호 (암사동),05236,010-3353-9930,20260315
B10,서울특별시교육청,강동구,교습소,3000040692,블럭앤코딩교습소,20220120,20220120,개원,        ,99991231,21,7,기타(대),기타(중),,기타(소), ,Y,N,서울특별시 강동구 상일로 55,", 204호 (상일동, 고덕자이)",05275,010-8474-0124,20250727
B10,서울특별시교육청,강동구,교습소,3000027943,창의소프트웨어코딩컴퓨터교습소,20161222,20161222,개원,        ,99991231,5,5,기타(대),기타(중),,컴퓨터(소), ,Y,N,서울특별시 강동구 동남로81길 20,", 4층 402호 (고덕동, 정광빌딩)",05226,02-428-0686,20231018
B10,서울특별시교육청,강동구,교습소,24016,탑소프트웨어컴퓨터교습소,20000601,20000601,개원,        ,99991231,18,9,입시.검정 및 보습,보통교과,"컴퓨터(주5회,회60분)",보습,"컴퓨터(주5회,회60분):100000, 컴퓨터(주5회,회60분):200000",Y,N,서울특별시 강동구 풍성로 136,3층 302호 (성내동),05394,02-485-1309,20240225
B10,서울특별시교육청,강동구,학원,1000023135,대건정보처리학원,19870501,19870501,개원,        ,99991231,118,50,기타(대),기타(중),컴퓨터(소),컴퓨터(소), ,Y,N,서울특별시 강동구 상암로 210,4층 (명일동),134830,02-3426-5013,20250112
B10,서울특별시교육청,강동구,학원,3000038392,더블유컴퓨터아트천호학원,20210205,20210205,개원,        ,99991231,300,75,직업기술,산업응용기술,디자인,디자인, ,Y,N,서울특별시 강동구 올림픽로 664,", 206호,207호,208호,209호,210호 (천호동, 대우 한강 베네시티)",05328,02-487-2201,20250406
B10,서울특별시교육청,강동구,학원,3000022952,엠비씨(MBC)아카데미컴퓨터학원,20150413,20150413,개원,        ,99991231,1335,445,종합(대),,"기계,디자인,전산회계,컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",, ,Y,N,서울특별시 강동구 천호대로157길 14,", 6층, 8층 803호 일부 (천호동, 나비빌딩)",134722,02-472-0645,20260426
B10,서울특별시교육청,강동구,학원,3000018151,코딩스쿨런스팀로봇코딩학원,20130906,20130906,개원,        ,99991231,80,53,기타(대),기타(중),,로봇, ,Y,N,서울특별시 강동구 고덕로 256,", 13층 1302호일부 (명일동,명성프라자)",134825,02-427-2013,20240623
B10,서울특별시교육청,강동구,학원,3000039803,코딩애플컴퓨터원격교육학원,20210914,20210914,개원,        ,99991231,10,999,직업기술,컴퓨터,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어),","컴퓨터(정보처리,통신기기,인터넷,소프트웨어)", ,Y,N,서울특별시 강동구 고덕로19길 30,", 101-806 (암사동, 한강포스파크아파트)",05237,02-000-0000,20231018
B10,서울특별시교육청,강동구,학원,3000041801,탐온라인원격학원,20220708,20220708,개원,        ,99991231,0,0,종합(대),,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",, ,Y,N,서울특별시 강동구 천호대로 1082,", 403호-11 (성내동, 경남빌딩)",05380,02-487-2209,20241215
B10,서울특별시교육청,강동구,학원,3000034559,패스트캠퍼스천호학원,20190605,20190605,개원,        ,99991231,2200,132,종합(대),,"디자인,전산회계,컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",, ,Y,N,서울특별시 강동구 천호대로 1027,", 5층 일부 (천호동, 일동빌딩)",05329,02-479-0009,20260329
B10,서울특별시교육청,강동구,학원,3000050183,한국인터넷교육방송원격학원,20240408,20240408,개원,        ,        ,0,0,종합(대),,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",, ,Y, ,서울특별시 강동구 양재대로 1313,"5층 일부(503호)(성내동, 동산빌딩)",05408,02-486-3228,20241215
B10,서울특별시교육청,강북구,교습소,3000036862,아이티(I.T.)컴퓨터교습소,20200513,20200513,개원,        ,99991231,3,3,기타(대),기타(중),컴퓨터A반,컴퓨터(소),"컴퓨터A반:60000, 컴퓨터B반:60000",Y,N,서울특별시 강북구 솔샘로 167,", 지하2층 242호 (미아동, 벽산라이브파크)",01191,02-000-0000,20250831
B10,서울특별시교육청,강북구,교습소,3000050952,코리코딩교습소,20240816,20240816,개원,        ,        ,0,5,정보,,,, ,Y, ,서울특별시 강북구 솔샘로 167,벽산라이브파크 상가동 129-1호(미아동),01191,02-0000-0000,20240908
B10,서울특별시교육청,강북구,학원,3000053871,세영AI로봇코딩학원,20251230,20251230,개원,        ,        ,153,51,정보,정보,,정보, ,Y,N,서울특별시 강북구 삼양로27길 35-21,402호(미아동),01196,010-7421-8788,20260426
B10,서울특별시교육청,강서구,교습소,3000023435,메타컴퓨터교습소,20150615,20150612,개원,        ,99991231,36,9,기타(대),기타(중),,컴퓨터(소),"컴퓨터일반자격증(초등):200000, 컴퓨터일반자격증(중등):200000, 컴퓨터일반자격증(고등):200000, 프로그램(초중고):200000, 고등반:90000, 고등반:170000",Y,N,서울특별시 강서구 마곡중앙1로 10,", 420호 (마곡동)",07807,02-2662-7323,20250309
B10,서울특별시교육청,강서구,교습소,2000008950,씨스꿀컴퓨터교습소,19970228,19970228,개원,        ,99991231,7,7,기타(대),기타(중),OA(중급),컴퓨터(소),"OA(중급):350000, 코딩(기초):250000, 코딩(중급):350000, 그래픽(기초):250000, 그래픽(중급):350000, 자격증(기초):250000, 자격증(중급):350000, OA(기초):250000",Y,N,서울특별시 강서구 공항대로 194,", 208호 (마곡동, 문영 퀸즈파크12차)",07631,02-2659-1692,20240512
B10,서울특별시교육청,강서구,학원,1000034246,나래정보처리회계학원,19990609,19990609,개원,        ,99991231,111,130,종합(대),,"전산회계,컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",, ,Y,N,서울특별시 강서구 강서로 193,", 5층 (화곡동,안태수내과)",157922,02-2662-2567,20241215
B10,서울특별시교육청,강서구,학원,3000040174,뉴스쿨학원,20211118,20211118,개원,        ,99991231,45,100,종합(대),,"자동차,컴퓨터(정보처리,통신기기,인터넷,소프트웨어),유통,",, ,Y,N,서울특별시 강서구 화곡로66길 153,", 6층,7층 (등촌동, 아이엠센터)",07565,02-0000-0000,20251214
B10,서울특별시교육청,강서구,학원,3000042567,라온엘씨(LC)학원,20221104,20221104,개원,        ,99991231,52,50,기타(대),기타(중),컴퓨터(소),컴퓨터(소), ,Y,N,서울특별시 강서구 방화대로 294,"907-1호(마곡동,마곡더블유타워)",07599,02-2661-6333,20250727
B10,서울특별시교육청,강서구,학원,3000029879,엠코딩랩학원,20170913,20170913,개원,        ,99991231,195,35,기타(대),기타(중),"로봇,",로봇, ,Y,N,서울특별시 강서구 마곡중앙5로 81,", 1103호 (마곡동)",07599,02-814-0130,20250601
B10,서울특별시교육청,강서구,학원,3000039313,인텔마이티인공지능코딩학원,20210702,20210702,개원,        ,99991231,124,36,기타(대),기타(중),"컴퓨터(소),",컴퓨터(소), ,Y,N,서울특별시 강서구 강서로45길 17,", 4층 (화곡동, 창건빌딩)",07705,02-0000-0000,20231018
B10,서울특별시교육청,강서구,학원,3000039129,코딩클래스학원,20210602,20210602,개원,        ,99991231,256,44,기타(대),기타(중),"컴퓨터(소),",컴퓨터(소), ,Y,N,서울특별시 강서구 수명로 76,"302호(내발산동,서울메디스테이트빌딩)",07635,02-0000-0000,20240609
B10,서울특별시교육청,강서구,학원,23207,탑컴퓨터전산회계학원,20100221,20090213,개원,        ,99991231,585,88,종합(대),,"전산회계,컴퓨터(정보처리,통신기기,인터넷,소프트웨어),",, ,Y,N,서울특별시 강서구 강서로 282,", 2층, 3층 (내발산동)",07680,02-3663-3906,20250330
B10,서울특별시교육청,관악구,학원,10001,가야학원,19920624,19920624,개원,        ,99991231,1560,60,직업기술,컴퓨터,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어),","컴퓨터(정보처리,통신기기,인터넷,소프트웨어)", ,Y,N,서울특별시 관악구 남부순환로 1843,(봉천동)3층,151834,02-878-5885,20240519
B10,서울특별시교육청,관악구,학원,12897,글로벌아이티(IT)인재개발학원,20060216,20060216,개원,        ,99991231,186,186,직업기술,컴퓨터,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)","컴퓨터(정보처리,통신기기,인터넷,소프트웨어)", ,Y,N,서울특별시 관악구 남부순환로 1820,", 6003호, 6004호, 7001호, 14층일부 (봉천동, 에그엘로우)",08787,02-6020-0055,20250803
B10,서울특별시교육청,관악구,학원,3000024274,씨지파이브학원,20150930,20150930,개원,        ,99991231,497,57,직업기술,컴퓨터,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)","컴퓨터(정보처리,통신기기,인터넷,소프트웨어)", ,Y,N,서울특별시 관악구 남부순환로 1783,", 1층 일부, 2층 (봉천동)",08758,02-522-7318,20250413
B10,서울특별시교육청,광진구,교습소,2000030430,디지털컴퓨터교습소,20020426,20020426,개원,        ,99991231,50,5,기타(대),기타(중),OA자격증코딩,컴퓨터(소),"OA자격증코딩:69000, OA자격증코딩:75000, OA자격증코딩:81000, 초/OA,자격증,프로그래밍1:138000, 초/OA,자격증,프로그래밍2:208000, 초/OA,자격증,프로그래밍3:231000, 중/OA,자격증,프로그래밍1:150000, 중/OA,자격증,프로그래밍2:226000, 중/OA,자격증,프로그래밍3:251000, 고/OA,자격증,프로그래밍1:163000, 고/OA,자격증,프로그래밍2:244000, 고/OA,자격증,프로그래밍3:271000, 고/OA,자격증,프로그래밍4:217000",Y,N,서울특별시 광진구 아차산로 530,", 3층 307호(현대프라자상가) (광장동)",04974,02-453-9189,20240908
B10,서울특별시교육청,광진구,교습소,3000018800,오성컴퓨터교습소,20131211,20131211,개원,        ,99991231,55,9,기타(대),,정보,,"정보:280000, 애니메이션:280000, 코딩:280000",Y,N,서울특별시 광진구 뚝섬로36가길 15,", 103호 (자양동,삼성아파트)",143718,02-444-7300,20250518
B10,서울특별시교육청,광진구,교습소,3000042754,코딩하루교습소,20221201,20221201,개원,        ,99991231,42,6,정보,정보,Level6,정보교과,"Level6:160000, 심화:300000, 특강1:50000, 특강2:100000, 특강3:200000, 사고력기초:80000, Level1:100000, Level2:120000, Level3:140000, Level4:140000, Level5:160000",Y,N,서울특별시 광진구 천호대로111길 35,", 1층 (중곡동)",04928,02-0000-0000,20241215
B10,서울특별시교육청,광진구,학원,3000018167,강남컴퓨터학원,20130916,20130912,개원,        ,99991231,18,49,기타(대),기타(중),"컴퓨터(소),",컴퓨터(소), ,Y,N,서울특별시 광진구 자양로50길 33-1,"(구의동,새중앙피아노학원)",143817,02-444-1937,20241215
B10,서울특별시교육청,광진구,학원,3000051233,디랩코딩광진학원,20241011,20241011,개원,        ,        ,0,66,정보,정보,정보,정보, ,Y, ,서울특별시 광진구 광나루로54길 32,4층(구의동),05117,02-0000-0000,20251214
B10,서울특별시교육청,광진구,학원,3000035222,로봇&코딩학원,20190918,20190918,개원,        ,99991231,80,64,직업기술,컴퓨터,"로봇,",로봇, ,Y,N,서울특별시 광진구 광나루로56길 29,", 3층 301호 (구의동, 현대프라임아파트)",05119,02-000-0000,20231018
B10,서울특별시교육청,광진구,학원,3000034359,스타랩코딩학원,20190501,20221228,개원,        ,99991231,705,47,정보,정보,,정보교과, ,Y,N,서울특별시 광진구 광나루로 602,201호 (구의동),05034,02-444-1854,20250914
B10,서울특별시교육청,광진구,학원,1000042082,한일컴퓨터학원,19890320,19890320,개원,        ,99991231,632,47,직업기술,컴퓨터,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)","컴퓨터(정보처리,통신기기,인터넷,소프트웨어)", ,Y,N,서울특별시 광진구 용마산로 93,", 4층 (중곡동, 용현빌딩)",04936,02-457-8857,20250126
